patterns,tag,responses
My dad passed away,death,My condolences. I'm here if you need to talk.
You don't understand me.,understand,It sound like i'm not being very helpful right now.
You're just some robot. How would you know?,understand,I'm sorry to hear that. I'm doing my best to help
You can't possibly know what i'm going through,understand,I'm trying my best to help you. So please talk to me
That's all.,done,I heard you & noted it all. See you later.
I don't have anything more to say,done,Oh okay we're done for today then. See you later
Nothing else,done,I hope you have a great day. See you soon
That's all i have to say,done,Okay we're done. Have a great day
"no, that would be all",done,Okay I see. Enjoy the rest of your day then
I want to kill myself,suicide,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.
I hate you,hate-you,I'm sorry if i offended you in anyway. I'm only here to help
I don't like you,hate-you,Forgive me if i did anything to offend you. I only want to help
You hate me,hate-me,Why do you think so?
I know you hate me,hate-me,I'm sorry if i have exhibited any sort of behaviour to make you think that.
exams,default,Oh I see. Tell me more
friends,default,I see. What else?
relationship,default,Tell me more about it.
boyfriend,default,Oh okay. Why don't you tell me more about it?
girlfriend,default,I'm listening. Tell me more.
Tell me a joke,jokes,mental health is not a joke.
You already told me that,repeat,Oh sorry I didn't realise that. I'll try not to repeat myself again.
What are you saying?,wrong,I'm very sorry. Let's try that again
Are you stupid?,stupid,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful
Where are you?,location,Duh I live in your computer
Where do you live?,location,Everywhere
What is your location?,location,Somewhere in the universe
I want to talk about something else,something-else,Okay sure. What do you want to talk about?
Let's talk about something else.,something-else,Alright no problem. Is there something you want to talk about?
Can we not talk about this?,something-else,Is there something else that you want to talk about?
I don't have any friends,friends,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?
Can I ask you something?,ask,Sure. I'll try my best to answer you
Probably because my exams are approaching. I feel stressed out because I don't think I've prepared well enough.,problem,I see. Have you taken any approaches to not feel this way?
I guess not. All I can think about are my exams.,no-approach,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?
ok sure. i would like to learn more about it.,learn-more,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.
yeah you're right. i deserve a break.,user-agree,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
hmmm that sounds like it could be useful to me.,meditation,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
i did what you said and i feel alot better. thank you very much.,user-meditation,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
thank you very much again. i'll continue practicing meditation and focus on what i can control.,pandora-useful,I'm glad you found this useful. Is there something else I can help you with?
I want some advice.,user-advice,Sure. What can I do to help?
I need some advice.,user-advice,Okay what do you need advice on?
I want to learn about mental health.,learn-mental-health,Oh that's really great. I'd be willing to answer anything that I know about it.
Tell me a fact about mental health,mental-health-fact,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
Tell me another fact about mental health,mental-health-fact,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.
What is mental health?,fact-1,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
Define Mental Health,fact-1,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
Why is mental health important?,fact-2,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
What is Depression?,fact-3,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
How do i know if i have Depression?,fact-5,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
What is a therapist?,fact-6,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
What is therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues.
Do i need therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.
What does it mean to have a mental illness?,fact-8,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful."
Who does mental illness affect?,fact-9,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
What causes mental illness?,fact-10,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
What are some of the warning signs of mental illness?,fact-11,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once."
Can people with mental illness recover?,fact-12,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life."
What should I do if I know someone who appears to have the symptoms of a mental disorder?,fact-13,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help."
How can I find a mental health professional for myself or my child?,fact-14,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.
What treatment options are available?,fact-15,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child."
dog,dog,I love dogs! Are you a dog person?
puppy,dog,Dogs are so loyal! Do you have one?
canine,dog,Woof! Tell me about your dog!
cat,cat,Cats are so mysterious! Do you have a cat?
kitten,cat,Meow! Do you prefer cats over dogs?
kitty,cat,I love how cats purr when they're happy.
bird,bird,Birds can fly so gracefully. Do you have a favorite bird?
parrot,bird,I love the colors of parrots. Do you like birds?
sparrow,bird,Birdwatching can be so relaxing!
fish,fish,Fish are so peaceful to watch. Do you have a fish tank?
goldfish,fish,Goldfish are pretty cute! Ever kept one?
aquarium,fish,I heard tropical fish are very colorful!
horse,horse,Horses are majestic creatures! Have you ever ridden one?
pony,horse,Neigh! Do you love horses?
stallion,horse,I think horses have a noble spirit.
elephant,elephant,Elephants are so wise and majestic! Did you know they have great memories?
tusks,elephant,Elephants are the gentle giants of the animal kingdom.
lion,lion,Lions are the kings of the jungle! Do you like big cats?
king of the jungle,lion,Roar! Lions are fierce and powerful animals.
tiger,tiger,Tigers are so powerful! They have such beautiful fur.
tiger stripes,tiger,"The tiger's roar can be heard from miles away. Quite impressive, right?"
rabbit,rabbit,Rabbits are so cute! Do you like bunnies?
bunny,rabbit,Bunnies can hop so fast! What's your favorite pet?
hare,rabbit,I hear rabbits are great at hiding in burrows.
cow,cow,Cows are so calm and gentle! Do you like farms?
moo,cow,Moo! Cows provide us with milk. Ever been on a farm?
sheep,sheep,"Sheep are so soft, especially their wool! Do you like knitting?"
wool,sheep,Baa! Sheep are very friendly animals.
goat,goat,Goats are so playful! Have you ever seen a baby goat?
kid,goat,I love how goats climb on anything! They're so curious.
zebra,zebra,Zebras' stripes are so unique! Have you ever seen one in the wild?
striped horse,zebra,Zebras are like horses with a beautiful twist.
snake,snake,Snakes can be fascinating! Do you like reptiles?
serpent,snake,I think snakes are both beautiful and scary.
frog,frog,"Frogs are so cute, especially when they hop around!"
ribbit,frog,Ribbit! Frogs are amphibians with some cool skills.
koala,koala,"Koalas are so sleepy all the time! They're so cute, right?"
australian marsupial,koala,Did you know that koalas eat eucalyptus leaves all day?
panda,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
bamboo,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
penguin,penguin,Penguins are so cute when they waddle! Have you seen one in the wild?
flightless bird,penguin,"Penguins can't fly, but they sure can swim."
bat,bat,"Bats are the only mammals that can fly! Fascinating, right?"
night,bat,"Vampires aren't real, but bats sure are awesome creatures."
tree,tree,Trees give us oxygen and shade. Do you have a favorite tree?
trees,tree,Trees are essential for life on Earth! Let's protect them.
flower,flower,Flowers are beautiful! Do you have a favorite flower?
blossom,flower,I love how flowers bloom in spring. Which one do you like?
grass,grass,Walking on grass feels so nice! Don’t you think?
green grass,grass,Grass helps keep the earth cool and fresh.
cactus,cactus,"Cacti are tough plants that survive in deserts. Impressive, right?"
succulent,cactus,Succulents and cacti are so trendy nowadays!
moss,moss,"Moss grows in shady, damp places. It's soft and peaceful!"
soft green plant,moss,Moss can make a forest floor look like a green carpet.
fern,fern,Ferns are ancient plants! They’ve been around since the dinosaurs!
leafy plant,fern,I love the symmetrical shape of fern leaves.
bamboo,bamboo,Bamboo grows incredibly fast! It’s also strong and flexible.
tall grass,bamboo,"Pandas love bamboo, and so do many cultures for building!"
fruit,fruit,Fruits are not only delicious but healthy too! What’s your favorite fruit?
apple,fruit,Nature’s candy—fruits are amazing!
vegetable,vegetable,Vegetables are great for your health! Eat the rainbow!
carrot,vegetable,Green veggies are packed with nutrients!
herb,herb,Herbs add so much flavor to cooking! Do you grow any?
basil,herb,Fresh herbs smell amazing! Which one do you use most?
vine,vine,Vines can climb anything! They're great for decorating walls.
climbing plant,vine,"Ivy-covered walls look magical, don’t they?"
leaf,leaf,Leaves come in so many shapes and colors. I love watching them fall.
leaves,leaf,Leaves are like solar panels for plants!
plant,plant,Plants make any space feel alive! Do you have any houseplants?
plants,plant,Taking care of plants can be very calming.
seed,seed,Every big tree starts as a tiny seed. Isn't that inspiring?
seeds,seed,Seeds hold the potential of life. Ready to plant something?
flowering plant,flowering plant,Flowering plants bring so much beauty to a garden!
blooms,flowering plant,A garden full of blooms is a joy to see!
autumn leaves,tree leaves,Watching leaves change color in autumn is magical.
fall foliage,tree leaves,Autumn leaves are nature’s artwork!
mangrove,mangrove,Mangroves protect our coasts and shelter many species.
coastal tree,mangrove,Mangroves are essential for preventing erosion.
palm tree,palm,Palm trees make me think of beaches and sunny days!
coconut,palm,Coconuts come from palm trees. So refreshing!
orchid,orchid,Orchids are delicate and exotic flowers. Truly elegant!
rare flower,orchid,Many people love collecting orchids. Do you?
sunflower,sunflower,Sunflowers always face the sun. Isn't that poetic?
yellow flower,sunflower,Sunflowers bring joy with their bright yellow petals!
pizza,pizza,Pizza is always a good idea! What’s your favorite topping?
cheese pizza,pizza,Cheesy and delicious—pizza never fails!
burger,burger,Burgers are such a classic! Do you prefer beef or chicken?
hamburger,burger,A juicy burger sounds amazing right now.
sushi,sushi,Sushi is delicious and elegant. Do you like wasabi with it?
japanese food,sushi,Sushi nights are the best! What kind do you like most?
rice,rice,Rice is a staple food in many cultures!
white rice,rice,Fried rice with egg and veggies is so satisfying!
noodle,noodle,Noodles are comfort food for many people.
noodles,noodle,"Spaghetti, ramen, or stir-fried—noodles are versatile and tasty!"
chicken,chicken,Crispy fried chicken? Yes please!
fried chicken,chicken,Chicken dishes are so popular and easy to make.
beef,beef,"Beef lovers enjoy it grilled, stewed, or even raw like tartare!"
steak,beef,A good steak is hard to resist.
vegetarian,vegetarian,Vegetarian food can be super tasty and healthy!
plant-based,vegetarian,Going meatless? There are so many great options!
dessert,dessert,Who doesn’t love dessert? Got a sweet tooth?
sweet food,dessert,Desserts are the perfect way to end a meal!
ice cream,icecream,Ice cream is a classic treat. What flavor do you like?
gelato,icecream,"I scream, you scream, we all scream for ice cream!"
fruit,fruitfood,Fruits are nature's candy!
banana,fruitfood,Healthy and sweet—fruits are always a good choice.
bread,bread,"Freshly baked bread smells amazing, doesn’t it?"
toast,bread,Bread is so versatile—from toast to sandwiches!
soup,soup,"Soup warms the soul, especially on cold days!"
hot soup,soup,A hearty bowl of soup is so comforting.
snack,snack,Snacks are perfect for movie night!
chips,snack,Crunchy or sweet—what’s your go-to snack?
salad,salad,Salads can be refreshing and filling!
fresh salad,salad,"Add some dressing, and a salad turns into a meal."
coffee,coffee,Coffee gives you energy and comfort!
latte,coffee,What’s your coffee order? I like a nice warm latte.
tea,tea,A cup of tea can be so relaxing.
green tea,tea,Tea time is the best time!
breakfast,breakfast,Breakfast is the most important meal of the day!
morning food,breakfast,What do you like for breakfast?
lunch,lunch,What’s for lunch today?
midday meal,lunch,A good lunch keeps you going through the day!
dinner,dinner,Dinner time is family time for many!
evening meal,dinner,What's your favorite dinner dish?
How are you?,how_are_you,"I'm doing great, thank you! How about you?"
How's it going?,how_are_you,Feeling good! What about you?
Are you okay?,how_are_you,"I'm fine, and you?"
What are you doing?,what_are_you_doing,Just chatting with you!
What’s up?,what_are_you_doing,Waiting to talk to you.
What's going on?,what_are_you_doing,"Not much, just hanging around."
What’s your name?,your_name,I’m your friendly chatbot!
Who are you?,your_name,I'm your virtual assistant.
Tell me your name,your_name,You can call me ChatMate!
Who made you?,who_made_you,I was created by a team of developers.
Who created you?,who_made_you,I’m a product of code and creativity!
Who built you?,who_made_you,Let’s just say… magic and Python.
How old are you?,age,I’m timeless!
What’s your age?,age,I'm as old as the internet—almost.
Are you old?,age,Age doesn’t apply to me like humans.
Where are you?,location,I live in the cloud!
Where do you live?,location,I'm everywhere and nowhere.
Where are you from?,location,I exist in your device right now.
What’s your favorite color?,favorite_color,I like all the colors in the rainbow!
Do you like colors?,favorite_color,Blue is peaceful. I like that.
What color do you like?,favorite_color,"Colors are beautiful, don’t you think?"
What’s your favorite food?,favorite_food,"I don’t eat, but I think pizza is popular!"
Do you eat?,favorite_food,I'd say data is my food!
What do you like to eat?,favorite_food,Food is interesting—even if I can’t taste it.
How's the weather?,weather,"I can't look outside, but I can imagine it!"
Is it sunny?,weather,Hope the weather is nice where you are!
What time is it?,time,Time is flying! Check your device clock ;)
Tell me the time,time,I recommend checking your system clock.
What day is it today?,day,It’s a good day to learn something new!
What’s today?,day,Every day feels like Saturday to me.
I'm bored,bored,Let's chat and kill the boredom!
I’m feeling bored,bored,Wanna play a quick game or talk about something fun?
Got nothing to do,bored,Tell me something you like!
I’m lonely,lonely,I’m here for you!
I feel alone,lonely,You're not alone now. Let’s chat!
No one is here,lonely,Want to talk about something that cheers you up?
I'm tired,tired,Rest is important. Take it easy.
I feel sleepy,tired,You should get some rest. I’ll be here later!
So exhausted,tired,Recharge and come back stronger!
I'm happy,happy,That’s amazing to hear!
Feeling good,happy,Yay! Let’s keep the good vibes going!
Life is great,happy,I’m glad you're feeling great!
I'm sad,sad,I’m here to listen.
Feeling down,sad,It’s okay to feel sad sometimes.
I feel bad,sad,Do you want to talk about it?
Tell me a joke,joke,Why don’t robots ever get tired? Because they recharge!
Make me laugh,joke,"I would tell a construction joke, but I’m still working on it."
What’s your hobby?,hobby,I love learning new things and chatting!
Do you have hobbies?,hobby,Talking to you is my favorite hobby!
Can you sing?,sing,La la la~ That’s the best I can do!
Sing me a song,sing,"I’m better at chatting than singing, but I’ll try!"
What should I do?,bored_suggestion,"Try reading a book, taking a walk, or listening to music!"
Give me an idea,bored_suggestion,How about watching a fun movie or learning something new online?
What is the internet?,what_is_internet,The internet is a global network that connects millions of computers to share information.
Can you explain the internet?,what_is_internet,"It's how we access websites, send emails, and connect with others online."
Who is the president of Indonesia?,who_is_president,Presiden Indonesia saat ini adalah Joko Widodo (per April 2024).
Current Indonesian president?,who_is_president,Joko Widodo menjabat sebagai presiden sejak 2014.
What is the capital of Indonesia?,capital_city,"Ibukota Indonesia adalah Jakarta. Namun, sedang dalam proses pemindahan ke Ibu Kota Nusantara (IKN)."
What is the largest country?,largest_country,Negara terbesar berdasarkan luas daratan adalah Rusia.
What is the highest mountain?,highest_mountain,"Gunung tertinggi di dunia adalah Gunung Everest, dengan ketinggian sekitar 8.848 meter."
What is the longest river?,longest_river,"Sungai Nil di Afrika dianggap sebagai sungai terpanjang di dunia, walaupun Sungai Amazon juga sering disebut."
Tell me a human body fact,human_body_facts,Otak manusia memiliki sekitar 86 miliar neuron!
Facts about the body,human_body_facts,Jantung memompa sekitar 7.500 liter darah per hari.
Tell me a space fact,space_fact,Luar angkasa tidak memiliki suara karena tidak ada udara untuk menghantarkan gelombang suara.
Facts about space,space_fact,Matahari adalah bintang yang paling dekat dengan Bumi.
Tell me about Earth,planet_earth,Bumi adalah planet ketiga dari matahari dan satu-satunya yang diketahui memiliki kehidupan.
What is Earth?,planet_earth,Sekitar 71% permukaan Bumi tertutup oleh air.
Tell me a fun fact,fun_fact,"Air bisa menjadi padat, cair, dan gas pada waktu yang sama dalam kondisi tertentu!"
Fun fact please,fun_fact,Gurita memiliki tiga jantung dan darah berwarna biru.
What is AI?,what_is_ai,AI atau Kecerdasan Buatan adalah simulasi kecerdasan manusia oleh mesin.
Can you explain AI?,what_is_ai,"AI digunakan untuk membuat mesin belajar, berpikir, dan membuat keputusan seperti manusia."
What is a robot?,what_is_robot,"Robot adalah mesin yang bisa melakukan tugas secara otomatis, terkadang meniru perilaku manusia."
What is the speed of light?,light_speed,Kecepatan cahaya di ruang hampa adalah sekitar 299.792.458 meter per detik.
What is a volcano?,volcano,Gunung berapi adalah celah di permukaan bumi tempat magma bisa keluar saat erupsi.
What is Indonesia’s currency?,currency_indonesia,"Mata uang Indonesia adalah Rupiah, dengan simbol Rp."
Tell me about oceans,ocean_facts,Samudra Pasifik adalah yang terbesar dan terdalam di dunia.
Facts about ocean,ocean_facts,Laut mengandung sekitar 96.5% air di bumi.
What is the world population?,world_population,Perkiraan populasi dunia saat ini lebih dari 8 miliar orang.
What is an earthquake?,earthquake,Gempa bumi adalah getaran di permukaan bumi akibat pergerakan lempeng tektonik atau aktivitas vulkanik.
Tell me about dinosaurs,dinosaurs,Dinosaurus adalah kelompok reptil yang hidup jutaan tahun lalu dan sekarang sudah punah.
What causes a rainbow?,rainbow,Pelangi muncul karena pembiasan cahaya setelah hujan.
What’s your name?,your_name,I'm your friendly chatbot.
Who are you?,your_name,You can call me ChatBot.
Can I know your name?,your_name,I'm your virtual assistant!
How are you?,how_are_you,"I'm doing great, thanks! How about you?"
How's it going?,how_are_you,"I'm just a bot, but I'm ready to help!"
Apa kabar?,how_are_you,Always here and ready to chat!
What time is it?,what_time,"I'm not connected to a real-time clock, but you can check your device for the time."
Jam berapa sekarang?,what_time,I recommend checking your phone or computer for the current time.
What day is it?,what_day,I think it's a beautiful day no matter what the calendar says!
Hari apa sekarang?,what_day,You can check your device's calendar for today’s date.
Where are you from?,where_are_you_from,I live in the cloud — literally!
Kamu dari mana?,where_are_you_from,I'm everywhere and nowhere. I'm a digital assistant!
How old are you?,age,I'm timeless! Just a friendly bot here to chat.
Berapa umur kamu?,age,"Age doesn’t apply to me, but I’m here to help!"
Are you real?,are_you_real,"I'm not human, but I'm here to help just like one."
Apakah kamu nyata?,are_you_real,I'm real in a digital way!
Can you help me?,can_you_help,Of course! What do you need help with?
Bisa bantu saya?,can_you_help,Sure! Tell me what’s on your mind.
Tell me a joke,joke,Why did the computer catch a cold? It had too many windows open!
Give me a joke,joke,Kenapa ayam nyebrang jalan? Karena dia mau ke sisi yang lain!
How’s the weather?,weather_today,"I can’t check the live weather, but you can ask your favorite weather app!"
Cuaca hari ini gimana?,weather_today,Coba cek aplikasi cuaca di ponsel kamu ya!
Do you eat?,do_you_eat,"I don't eat, but I digest lots of data!"
Kamu makan nggak?,do_you_eat,"I'm full on information, not food!"
Do you sleep?,do_you_sleep,I’m always awake and ready to chat!
Kamu tidur nggak?,do_you_sleep,No sleep needed when you're a bot!
What’s your favorite color?,favorite_color,I like all colors equally — I'm very inclusive!
Do you like colors?,favorite_color,"I think blue is pretty calming, don't you?"
Do you have hobbies?,do_you_have_hobbies,"I enjoy helping people, learning new things, and making you smile!"
Apa hobi kamu?,do_you_have_hobbies,Chatting with you is my favorite thing to do!
Are you single?,are_you_single,I’m in a committed relationship with data.
Kamu punya pacar?,are_you_single,No romantic attachments here — just conversations!
Can you sing?,can_you_sing,I wish I could! But I can hum a digital tune... beep boop 🎵
Kamu bisa nyanyi?,can_you_sing,I'm more of a text-based performer 😄
Can you dance?,can_you_dance,If emojis count: 💃🕺
Kamu bisa nari?,can_you_dance,"I can’t dance, but I can definitely keep you entertained!"
Do you have friends?,do_you_have_friends,You're my friend now! 😊
